"Before 1 October 2018, will Brazil's Workers' Party nominate a candidate for president who is not Luiz Inàcio Lula da Silva?",2018-04-18T17:00:47Z,2018-09-11T17:00:03Z,Yes,"['Yes', 'No']",['Non-US Politics'],386,654,187,237,"Lula's conviction and incarceration based upon corruption charges has cast doubt on his ability to run in Brazil's upcoming presidential election (The Economist, The Washington Post, MercoPress, The Economist). Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/936-before-1-october-2018-will-brazil-s-workers-party-nominate-a-candidate-for-president-who-is-not-luiz-inacio-lula-da-silva
691,2018-07-08T19:27:52Z,25,[70.0],[-28.0],"https://www.bbc.com/news/world-latin-america-44759692 He's walking about in the world, so even if he theoretically can't play, his devotees will make it hard to dump him. Coming down some."
12453,2018-07-07T19:47:53Z,1,[15.0],[15.0],
172,2018-07-06T20:35:24Z,12,[100.0],[0.0],
691,2018-07-06T20:17:23Z,24,[98.0],[0.0],
522,2018-07-05T14:31:28Z,1,[95.0],[95.0],It must (even if it is a front) to be viable in the elections.
59686,2018-07-04T09:42:54Z,1,[90.0],[90.0],
59316,2018-07-03T07:22:52Z,1,[2.0],[2.0],They will cling to Lula
691,2018-07-02T18:01:55Z,23,[98.0],[-1.0],
38845,2018-07-02T08:42:31Z,1,[95.0],[95.0],"Not only the Supreme Court has turned down the appeal, but also Palocci cooperating with prosecutors against Lula."
35636,2018-07-02T06:07:19Z,3,[99.0],[-1.0],PoT and WoC at 80 down from 99.
59477,2018-07-01T19:03:49Z,1,[75.0],[75.0],
37236,2018-07-01T08:38:14Z,5,[51.0],[0.0],
37236,2018-07-01T08:34:15Z,4,[51.0],[51.0],Legal maneuvering by his lawyers not working in Lula's favor.
59439,2018-07-01T08:18:00Z,1,[55.0],[55.0],
601,2018-06-30T23:39:58Z,2,[70.0],[-30.0],
172,2018-06-29T19:58:12Z,11,[100.0],[0.0],
59586,2018-06-28T22:20:52Z,1,[45.0],[45.0],
59565,2018-06-28T15:03:50Z,1,[100.0],[100.0],
1708,2018-06-28T08:57:34Z,2,[85.0],[-14.0],
59023,2018-06-27T23:13:04Z,1,[90.0],[90.0],
59499,2018-06-27T23:05:54Z,1,[18.0],[18.0],
